Model,nFCC,nTCC
STM_v1_0,979,1056
e_coli_core,8,8
iAB_RBC_283,41,47
iAF1260,853,950
iAF1260b,837,936
iAF692,264,471
iAF987,622,848
iAM_Pb448,338,495
iAM_Pc455,326,488
iAM_Pf480,324,486
iAM_Pk459,325,487
iAM_Pv461,324,486
iAPECO1_1312,1092,1214
iB21_1397,1114,1232
iBWG_1329,1032,1177
iCN718,392,393
iCN900,926,926
iE2348C_1286,1087,1209
iEC042_1314,1095,2714
iEC1344_C,1137,1262
iEC1349_Crooks,1110,2756
iEC1356_Bl21DE3,1113,2740
iEC1364_W,1021,1172
iEC1368_DH5a,1111,1245
iEC1372_W3110,994,1143
iEC55989_1330,1111,1233
iECABU_c1320,1093,1215
iECBD_1354,1120,2748
iECB_1328,1113,1236
iECDH10B_1368,1036,1181
iECDH1ME8569_1439,1110,2755
iECD_1391,1114,1232
iECED1_1282,1087,1209
iECH74115_1262,1083,1202
iECIAI1_1343,1147,1277
iECIAI39_1322,1177,2721
iECNA114_1301,1087,2718
iECO103_1326,1123,1249
iECO111_1330,1134,1260
iECO26_1355,1139,1265
iECOK1_1307,1084,2729
iECP_1309,1096,2739
iECS88_1305,1101,1222
iECSE_1348,1129,2768
iECSF_1327,1029,1174
iECSP_1301,1091,2712
iECUMN_1333,1108,1233
iECW_1372,1139,1262
iECs_1301,1099,1218
iEK1008,413,580
iEKO11_1354,1148,2778
iETEC_1333,1123,1245
iEcDH1_1363,1108,1225
iEcE24377_1341,1133,2763
iEcHS_1320,1133,1256
iEcSMS35_1347,1098,2746
iEcolC_1368,1140,1263
iG2583_1286,1085,2704
iHN637,310,495
iIS312,287,295
iIS312_Amastigote,311,319
iIS312_Epimastigote,289,297
iIS312_Trypomastigote,327,335
iIT341,177,356
iJB785,262,576
iJN1463,1165,1371
iJN678,294,625
iJO1366,908,1047
iJR904,426,519
iLF82_1304,1101,2726
iLJ478,281,417
iML1515,998,1096
iMM904,692,706
iND750,639,692
iNF517,272,430
iNJ661,326,474
iNRG857_1313,1085,1207
iPC815,917,1108
iSB619,293,294
iSBO_1134,1118,1193
iSDY_1059,1060,1167
iSFV_1184,1131,1254
iSF_1195,1143,1257
iSFxv_1172,1110,1220
iSSON_1240,1117,1228
iS_1188,1140,1248
iSbBS512_1146,1074,1191
iSynCJ816,363,711
iUMN146_1321,1090,2735
iUMNK88_1353,1137,2777
iUTI89_1310,1088,1210
iWFL_1372,1139,1262
iY75_1357,1114,2759
iYL1228,1039,1043
iYO844,620,705
iYS1720,1018,1136
iYS854,560,819
iZ_1308,1100,1219
ic_1306,1095,1217
